player_name,season,team,contract_year_of,contract_length
Christian McCaffrey,2025,SF,2,2
Christian McCaffrey,2024,SF,1,2
Christian McCaffrey,2023,SF,4,4
Breece Hall,2025,NYJ,4,4
Breece Hall,2024,NYJ,3,4
Breece Hall,2023,NYJ,2,4
Bijan Robinson,2025,ATL,3,4
Bijan Robinson,2024,ATL,2,4
Bijan Robinson,2023,ATL,1,4
Jahmyr Gibbs,2025,DET,3,4
Jahmyr Gibbs,2024,DET,2,4
Jahmyr Gibbs,2023,DET,1,4
Saquon Barkley,2025,PHI,2,3
Saquon Barkley,2024,PHI,1,3
Saquon Barkley,2023,NYG,1,1
Kyren Williams,2025,LAR,4,4
Kyren Williams,2024,LAR,3,4
Kyren Williams,2023,LAR,2,4
Jonathan Taylor,2025,IND,2,3
Jonathan Taylor,2024,IND,1,3
Jonathan Taylor,2023,IND,4,4
Derrick Henry,2025,BAL,2,2
Derrick Henry,2024,BAL,1,2
Derrick Henry,2023,TEN,4,4
James Cook,2025,BUF,4,4
James Cook,2024,BUF,3,4
James Cook,2023,BUF,2,4
Travis Etienne Jr.,2025,JAX,5,5
Travis Etienne Jr.,2024,JAX,4,4
Travis Etienne Jr.,2023,JAX,3,4
De'Von Achane,2025,MIA,3,4
De'Von Achane,2024,MIA,2,4
De'Von Achane,2023,MIA,1,4
Alvin Kamara,2025,NO,5,5
Alvin Kamara,2024,NO,4,5
Alvin Kamara,2023,NO,3,5
Joe Mixon,2025,HOU,2,3
Joe Mixon,2024,HOU,1,3
Joe Mixon,2023,CIN,3,4
Isiah Pacheco,2025,KC,4,4
Isiah Pacheco,2024,KC,3,4
Isiah Pacheco,2023,KC,2,4
Kenneth Walker III,2025,SEA,4,4
Kenneth Walker III,2024,SEA,3,4
Kenneth Walker III,2023,SEA,2,4
Rhamondre Stevenson,2025,NE,1,4
Rhamondre Stevenson,2024,NE,4,4
Rhamondre Stevenson,2023,NE,3,4
David Montgomery,2025,DET,3,3
David Montgomery,2024,DET,2,3
David Montgomery,2023,DET,1,3
Josh Jacobs,2025,GB,2,4
Josh Jacobs,2024,GB,1,4
Josh Jacobs,2023,LV,1,1
D'Andre Swift,2025,CHI,2,3
D'Andre Swift,2024,CHI,1,3
D'Andre Swift,2023,PHI,4,4
Rachaad White,2025,TB,4,4
Rachaad White,2024,TB,3,4
Rachaad White,2023,TB,2,4
Raheem Mostert,2025,MIA,2,2
Raheem Mostert,2024,MIA,1,2
Raheem Mostert,2023,MIA,2,2
Aaron Jones,2025,MIN,2,2
Aaron Jones,2024,MIN,1,1
Aaron Jones,2023,GB,3,4
James Conner,2025,ARI,2,3
James Conner,2024,ARI,1,3
James Conner,2023,ARI,3,3
Zack Moss,2025,CIN,2,2
Zack Moss,2024,CIN,1,2
Zack Moss,2023,IND,4,4
Jaylen Warren,2025,PIT,1,3
Jaylen Warren,2024,PIT,3,3
Jaylen Warren,2023,PIT,2,3
Najee Harris,2025,PIT,5,5
Najee Harris,2024,PIT,4,4
Najee Harris,2023,PIT,3,4
Devin Singletary,2025,NYG,2,3
Devin Singletary,2024,NYG,1,3
Devin Singletary,2023,HOU,1,1
Brian Robinson Jr.,2025,WAS,4,4
Brian Robinson Jr.,2024,WAS,3,4
Brian Robinson Jr.,2023,WAS,2,4
Tony Pollard,2025,TEN,2,3
Tony Pollard,2024,TEN,1,3
Tony Pollard,2023,DAL,1,1
Austin Ekeler,2025,WAS,2,2
Austin Ekeler,2024,WAS,1,2
Austin Ekeler,2023,LAC,4,4
Jerome Ford,2025,CLE,4,4
Jerome Ford,2024,CLE,3,4
Jerome Ford,2023,CLE,2,4
Nick Chubb,2025,CLE,1,2
Nick Chubb,2024,CLE,1,1
Nick Chubb,2023,CLE,3,3
Ezekiel Elliott,2025,DAL,1,1
Ezekiel Elliott,2024,DAL,1,1
Ezekiel Elliott,2023,NE,1,1
Javonte Williams,2025,DEN,1,3
Javonte Williams,2024,DEN,4,4
Javonte Williams,2023,DEN,3,4
Tyler Allgeier,2025,ATL,4,4
Tyler Allgeier,2024,ATL,3,4
Tyler Allgeier,2023,ATL,2,4
Gus Edwards,2025,LAC,2,2
Gus Edwards,2024,LAC,1,2
Gus Edwards,2023,BAL,1,1
J.K. Dobbins,2025,LAC,1,2
J.K. Dobbins,2024,LAC,1,1
J.K. Dobbins,2023,BAL,4,4
Zach Charbonnet,2025,SEA,3,4
Zach Charbonnet,2024,SEA,2,4
Zach Charbonnet,2023,SEA,1,4
Chuba Hubbard,2025,CAR,1,4
Chuba Hubbard,2024,CAR,4,4
Chuba Hubbard,2023,CAR,3,4
Khalil Herbert,2025,CIN,1,2
Khalil Herbert,2024,CHI,4,4
Khalil Herbert,2023,CHI,3,4
Kendre Miller,2025,NO,3,4
Kendre Miller,2024,NO,2,4
Kendre Miller,2023,NO,1,4
Ty Chandler,2025,MIN,4,4
Ty Chandler,2024,MIN,3,4
Ty Chandler,2023,MIN,2,4
Antonio Gibson,2025,NE,2,3
Antonio Gibson,2024,NE,1,3
Antonio Gibson,2023,WAS,4,4
Dameon Pierce,2025,HOU,4,4
Dameon Pierce,2024,HOU,3,4
Dameon Pierce,2023,HOU,2,4
Alexander Mattison,2025,LV,1,2
Alexander Mattison,2024,LV,1,1
Alexander Mattison,2023,MIN,1,2
Clyde Edwards-Helaire,2025,KC,1,1
Clyde Edwards-Helaire,2024,KC,1,1
Clyde Edwards-Helaire,2023,KC,4,4
Zamir White,2025,LV,4,4
Zamir White,2024,LV,3,4
Zamir White,2023,LV,2,4
AJ Dillon,2025,GB,1,2
AJ Dillon,2024,GB,1,1
AJ Dillon,2023,GB,4,4
Miles Sanders,2025,CAR,3,4
Miles Sanders,2024,CAR,2,4
Miles Sanders,2023,CAR,1,4
Jamaal Williams,2025,NO,3,3
Jamaal Williams,2024,NO,2,3
Jamaal Williams,2023,NO,1,3
