season,team,playcaller,playcaller_role
2016,ARI,Bruce Arians,Head Coach
2016,ATL,Kyle Shanahan,Offensive Coordinator
2016,BAL,Marc Trestman,Offensive Coordinator
2016,BUF,Greg Roman,Offensive Coordinator
2016,CAR,Mike Shula,Offensive Coordinator
2016,CHI,Dowell Loggains,Offensive Coordinator
2016,CIN,Ken Zampese,Offensive Coordinator
2016,CLE,Hue Jackson,Head Coach
2016,DAL,Scott Linehan,Offensive Coordinator
2016,DEN,Gary Kubiak,Head Coach
2016,DET,Jim Bob Cooter,Offensive Coordinator
2016,GB,Mike McCarthy,Head Coach
2016,HOU,Bill O'Brien,Head Coach
2016,IND,Rob Chudzinski,Offensive Coordinator
2016,JAX,Greg Olson,Offensive Coordinator
2016,KC,Andy Reid,Head Coach
2016,LA,Rob Boras,Offensive Coordinator
2016,MIA,Adam Gase,Head Coach
2016,MIN,Norv Turner,Offensive Coordinator
2016,NE,Josh McDaniels,Offensive Coordinator
2016,NO,Sean Payton,Head Coach
2016,NYG,Ben McAdoo,Head Coach
2016,NYJ,Chan Gailey,Offensive Coordinator
2016,OAK,Bill Musgrave,Offensive Coordinator
2016,PHI,Doug Pederson,Head Coach
2016,PIT,Todd Haley,Offensive Coordinator
2016,SD,Ken Whisenhunt,Offensive Coordinator
2016,SEA,Darrell Bevell,Offensive Coordinator
2016,SF,Chip Kelly,Head Coach
2016,TB,Dirk Koetter,Head Coach
2016,TEN,Terry Robiskie,Offensive Coordinator
2016,WAS,Sean McVay,Offensive Coordinator
2017,ARI,Bruce Arians,Head Coach
2017,ATL,Steve Sarkisian,Offensive Coordinator
2017,BAL,Marty Mornhinweg,Offensive Coordinator
2017,BUF,Rick Dennison,Offensive Coordinator
2017,CAR,Mike Shula,Offensive Coordinator
2017,CHI,Dowell Loggains,Offensive Coordinator
2017,CIN,Ken Zampese,Offensive Coordinator
2017,CLE,Hue Jackson,Head Coach
2017,DAL,Scott Linehan,Offensive Coordinator
2017,DEN,Mike McCoy,Offensive Coordinator
2017,DET,Jim Bob Cooter,Offensive Coordinator
2017,GB,Mike McCarthy,Head Coach
2017,HOU,Bill O'Brien,Head Coach
2017,IND,Rob Chudzinski,Offensive Coordinator
2017,JAX,Nathaniel Hackett,Offensive Coordinator
2017,KC,Andy Reid,Head Coach
2017,LA,Sean McVay,Head Coach
2017,LAC,Ken Whisenhunt,Offensive Coordinator
2017,MIA,Adam Gase,Head Coach
2017,MIN,Pat Shurmur,Offensive Coordinator
2017,NE,Josh McDaniels,Offensive Coordinator
2017,NO,Sean Payton,Head Coach
2017,NYG,Ben McAdoo,Head Coach
2017,NYJ,John Morton,Offensive Coordinator
2017,OAK,Todd Downing,Offensive Coordinator
2017,PHI,Doug Pederson,Head Coach
2017,PIT,Todd Haley,Offensive Coordinator
2017,SEA,Darrell Bevell,Offensive Coordinator
2017,SF,Kyle Shanahan,Head Coach
2017,TB,Dirk Koetter,Head Coach
2017,TEN,Terry Robiskie,Offensive Coordinator
2017,WAS,Jay Gruden,Head Coach
2018,ARI,Mike McCoy,Offensive Coordinator
2018,ATL,Steve Sarkisian,Offensive Coordinator
2018,BAL,Marty Mornhinweg,Offensive Coordinator
2018,BUF,Brian Daboll,Offensive Coordinator
2018,CAR,Norv Turner,Offensive Coordinator
2018,CHI,Matt Nagy,Head Coach
2018,CIN,Bill Lazor,Offensive Coordinator
2018,CLE,Todd Haley,Offensive Coordinator
2018,DAL,Scott Linehan,Offensive Coordinator
2018,DEN,Bill Musgrave,Offensive Coordinator
2018,DET,Jim Bob Cooter,Offensive Coordinator
2018,GB,Mike McCarthy,Head Coach
2018,HOU,Bill O'Brien,Head Coach
2018,IND,Frank Reich,Head Coach
