season,team,playcaller,playcaller_role,changed_from_prior_year
2016,ARI,,,
2016,ATL,,,
2016,BAL,,,
2016,BUF,,,
2016,CAR,,,
2016,CHI,,,
2016,CIN,,,
2016,CLE,,,
2016,DAL,,,
2016,DEN,,,
2016,DET,,,
2016,GB,,,
2016,HOU,,,
2016,IND,,,
2016,JAX,,,
2016,KC,,,
2016,LA,,,
2016,MIA,,,
2016,MIN,,,
2016,NE,,,
2016,NO,,,
2016,NYG,,,
2016,NYJ,,,
2016,OAK,,,
2016,PHI,,,
2016,PIT,,,
2016,SD,,,
2016,SEA,,,
2016,SF,,,
2016,TB,,,
2016,TEN,,,
2016,WAS,,,
2017,ARI,,,
2017,ATL,,,
2017,BAL,,,
2017,BUF,,,
2017,CAR,,,
2017,CHI,,,
2017,CIN,,,
2017,CLE,,,
2017,DAL,,,
2017,DEN,,,
2017,DET,,,
2017,GB,,,
2017,HOU,,,
2017,IND,,,
2017,JAX,,,
2017,KC,,,
2017,LA,,,
2017,LAC,,,
2017,MIA,,,
2017,MIN,,,
2017,NE,,,
2017,NO,,,
2017,NYG,,,
2017,NYJ,,,
2017,OAK,,,
2017,PHI,,,
2017,PIT,,,
2017,SEA,,,
2017,SF,,,
2017,TB,,,
2017,TEN,,,
2017,WAS,,,
2018,ARI,,,
2018,ATL,,,
2018,BAL,,,
2018,BUF,,,
2018,CAR,,,
2018,CHI,,,
2018,CIN,,,
2018,CLE,,,
2018,DAL,,,
2018,DEN,,,
2018,DET,,,
2018,GB,,,
2018,HOU,,,
2018,IND,,,
2018,JAX,,,
2018,KC,,,
2018,LA,,,
2018,LAC,,,
2018,MIA,,,
2018,MIN,,,
2018,NE,,,
2018,NO,,,
2018,NYG,,,
2018,NYJ,,,
2018,OAK,,,
2018,PHI,,,
2018,PIT,,,
2018,SEA,,,
2018,SF,,,
2018,TB,,,
2018,TEN,,,
2018,WAS,,,
2019,ARI,,,
2019,ATL,,,
2019,BAL,,,
2019,BUF,,,
2019,CAR,,,
2019,CHI,,,
2019,CIN,,,
2019,CLE,,,
2019,DAL,,,
2019,DEN,,,
2019,DET,,,
2019,GB,,,
2019,HOU,,,
2019,IND,,,
2019,JAX,,,
2019,KC,,,
2019,LA,,,
2019,LAC,,,
2019,MIA,,,
2019,MIN,,,
2019,NE,,,
2019,NO,,,
2019,NYG,,,
2019,NYJ,,,
2019,OAK,,,
2019,PHI,,,
2019,PIT,,,
2019,SEA,,,
2019,SF,,,
2019,TB,,,
2019,TEN,,,
2019,WAS,,,
2020,ARI,,,
2020,ATL,,,
2020,BAL,,,
2020,BUF,,,
2020,CAR,,,
2020,CHI,,,
2020,CIN,,,
2020,CLE,,,
2020,DAL,,,
2020,DEN,,,
2020,DET,,,
2020,GB,,,
2020,HOU,,,
2020,IND,,,
2020,JAX,,,
2020,KC,,,
2020,LA,,,
2020,LAC,,,
2020,LV,,,
2020,MIA,,,
2020,MIN,,,
2020,NE,,,
2020,NO,,,
2020,NYG,,,
2020,NYJ,,,
2020,PHI,,,
2020,PIT,,,
2020,SEA,,,
2020,SF,,,
2020,TB,,,
2020,TEN,,,
2020,WAS,,,
